Tempo,X,Y,Z,EMG1,EMG2,Modulo da derivada X,Modulo da derivada Y,Modulo da derivada Z,Modulo da derivada EMG1,Modulo da derivada EMG2
10229,34282,32564,40905,15695,7669,2375,1030,1502,6453,2266
10292,34420,30948,40248,2403,7614,98,1154,469,9494,39
10357,35621,27430,41336,1689,8201,831,2435,753,494,406
10421,32264,30389,41779,1,5487,2360,2080,311,1186,1908
10486,28599,34090,40932,395,6967,2537,2562,586,272,1024
10551,27279,32822,40308,1,8638,913,877,432,272,1156
10617,27955,31014,39951,1,5085,460,1232,243,0,2422
10678,28975,30354,39141,0,6046,752,486,597,0,708
10742,30892,30361,38987,1,2323,1347,4,108,0,2617
10804,30837,29431,39090,178,4095,39,675,74,128,1286
10870,30994,29453,39944,4609,7841,107,15,582,3021,2554
10935,31821,28094,40758,6535,2116,572,940,563,1333,3963
11000,34595,25555,39563,11506,1408,1920,1757,827,3441,490
11065,38739,25329,36573,5780,3236,2868,156,2070,3964,1265
11128,41789,27812,39465,9492,6498,2178,1773,2065,2651,2330
11193,41367,38698,40746,17955,6691,292,7536,886,5859,133
11257,36532,35173,40678,12445,3360,3399,2478,47,3874,2342
11320,30252,23470,46022,15105,300,4485,8359,3817,1900,2185
11386,27068,28820,53574,1092,0,2170,3647,5149,9554,204
11451,31148,38026,48996,29,0,2824,6373,3169,735,0
11517,29159,31719,46829,4818,0,1356,4300,1477,3265,0
11582,28264,27501,46673,5195,0,619,2920,108,261,0
11646,25671,31754,44502,10168,0,1823,2990,1526,3496,0
11712,22983,32679,44069,11562,0,1832,630,295,950,0
11775,22804,31709,42735,13965,0,127,692,952,1716,0
11842,24449,34331,42035,28516,0,1104,1761,470,9773,0
11907,28060,36949,41854,26655,0,2499,1812,125,1288,0
11973,30964,37257,41957,11075,0,1980,210,70,10622,0
12038,28091,36144,40428,1898,0,1989,770,1058,6353,0
12103,24294,36116,38365,0,0,2628,19,1428,1314,0
12167,26734,37574,40613,0,51,1715,1025,1580,0,35
12231,32751,35865,44799,202,0,4230,1201,2943,142,35
12297,36819,32013,40344,2094,3472,2773,2626,3037,1290,2367
12364,39241,36789,34713,5570,8770,1626,3207,3782,2334,3558
12431,39797,39011,40092,7070,15188,373,1492,3612,1007,4310
12497,34830,27970,46985,7759,13191,3386,7527,4699,469,1361
12560,30116,25991,52077,16627,20786,3367,1413,3637,6334,5425
12626,27903,33888,49481,10180,19004,1508,5384,1770,4395,1215
12690,34216,37233,47967,19715,13203,4438,2351,1064,6704,4078
12754,39478,30637,46413,2457,18785,3699,4637,1092,12134,3924
12831,31946,31106,43214,273,2098,4401,274,1869,1276,9752
12896,25811,32349,42481,0,56,4247,860,507,189,1413
12959,22505,32056,42164,0,193,2361,209,226,0,97
13024,23045,31802,40600,0,3931,373,175,1082,0,2587
13087,24145,32587,38153,0,1541,785,560,1747,0,1707
13154,28526,32407,38548,0,5971,2942,120,265,0,2975
13218,32322,30591,37743,1,7125,2669,1276,566,0,811
13282,31295,28832,37438,574,12137,722,1236,214,402,3524
13349,27075,25327,40165,3468,15987,2834,2354,1831,1943,2585
13413,26602,25902,43564,10096,11111,332,404,2389,4660,3428
13477,36950,38703,36472,30584,4172,7275,9000,4986,14405,4878
13542,44156,25434,33962,29809,4311,4988,9186,1737,536,96
13607,37493,24941,43668,15307,5167,4612,341,6719,10039,592
13674,28767,28970,51667,0,9512,5860,2706,5372,10280,2918
13737,37295,34868,49184,8488,4900,6091,4212,1773,6062,3294
13801,36835,35353,44647,1256,2,323,341,3190,5085,3443
13865,28876,32365,42902,954,0,5596,2100,1226,212,1
13930,22044,36187,42797,6557,0,4729,2646,72,3879,0
13993,21149,35527,43158,10193,0,639,471,257,2597,0
14060,23722,31946,40411,17478,0,1728,2405,1845,4892,0
14124,28104,34671,39840,34740,0,3081,1916,401,12137,0
14186,30728,36155,39069,18590,45,1904,1077,559,11721,32
14251,28570,36410,37332,4248,6179,1494,176,1202,9929,4246
14317,26278,38142,38368,1,3448,1562,1180,706,2895,1862
14383,30922,35248,41908,3595,16495,3166,1973,2413,2450,8895
14446,35054,34219,33653,4,14471,2951,735,5896,2565,1445
14514,35115,42538,43691,5328,19689,40,5505,6642,3523,3453
14583,41688,19340,55998,25558,22263,4286,15129,8026,13193,1678
14650,36023,25206,52584,29087,24241,3804,3939,2292,2370,1328
14718,23352,47525,48789,11592,17192,8385,14769,2511,11577,4664
14781,34186,41587,45397,3,32933,7738,4241,2422,8277,11243
14846,35956,25227,43775,6,10745,1225,11326,1122,2,15360
14911,28136,27068,43710,2,4162,5413,1274,45,2,4557
14982,23242,31678,43130,0,856,3101,2921,367,1,2095
15043,25269,31285,41518,1336,0,1495,289,1189,985,631
15110,27691,33273,38952,693,3051,1626,1335,1723,431,2049
15172,29749,35652,38360,720,4678,1493,1726,429,19,1180
15240,32198,32710,37590,3331,2543,1620,1946,509,1727,1412
15304,27832,29711,39068,3984,3472,3069,2108,1039,459,653
15370,26894,27619,39622,2582,1556,639,1426,377,955,1306
15435,30104,30219,41899,2982,1460,2222,1800,1576,276,66
15504,33744,35549,41671,28210,129,2373,3476,148,16453,868
15570,32651,25462,42911,16936,8149,745,6877,845,7686,5468
15634,36543,41046,51709,6513,1836,2736,10957,6186,7328,4438
15699,35776,38256,50702,6239,121,531,1931,697,189,1187
15763,28134,25615,52071,3904,4048,5373,8888,962,1641,2761
15825,33096,32684,51561,1289,6480,3601,5130,370,1897,1765
15891,36747,41502,49885,652,702,2489,6012,1142,434,3939
15954,33519,37331,47461,8703,0,2305,2979,1731,5750,501
16018,25877,33929,46096,4971,0,5373,2392,959,2624,0
16083,24616,33810,44998,9081,0,873,82,760,2845,0
16146,27278,33773,44827,7581,0,1901,26,122,1071,0
16213,28540,35101,45088,12589,0,847,891,175,3363,0
16279,27168,36934,44166,25171,0,935,1249,628,8578,0
16347,25835,37190,43368,21399,0,882,169,528,2496,0
16410,26358,36306,43131,14622,0,373,631,169,4840,0
16479,28369,34105,43768,2125,1814,1311,1435,415,8150,1183
16544,29157,31789,45846,328,5416,545,1603,1438,1244,2493
16613,29702,29338,46294,1,11197,355,1598,292,213,3770
16680,31617,30805,45818,2,20352,1286,985,319,0,6148
16744,31210,33733,45088,3,14041,286,2058,513,0,4437
16808,29355,34266,44346,5763,3188,1304,374,521,4050,7631
16877,28714,34676,44098,14591,3413,418,267,161,5757,146
16943,29919,31703,44496,0,4014,821,2027,271,9948,409
17009,30258,29754,45109,558,0,231,1328,417,380,2736
17077,29932,30125,45389,7218,0,215,245,185,4407,0
17144,30835,30244,45125,3575,819,606,79,177,2446,550
17209,30136,30636,44370,2650,16808,483,271,522,640,11069
17274,29601,30574,43886,7239,8264,370,42,335,3177,5915
17341,29943,30016,43673,5959,3544,229,374,143,859,3170
17405,30589,29609,43524,5531,818,454,286,104,300,1916
17474,30390,29448,43555,4811,0,129,105,20,469,533
17541,30130,29897,43828,1812,0,174,301,183,2014,0
17603,30432,30413,43508,13,0,219,374,232,1305,0
17670,30859,31040,43181,188,281,286,421,219,117,188
17737,30299,31035,43016,877,5065,376,3,110,462,3213
17803,30137,30732,43184,3706,2788,110,206,114,1928,1552
17867,30632,30711,43198,4783,5536,348,14,9,757,1932
17933,30417,30756,43116,3537,6314,146,30,55,849,530
18000,30354,30831,43147,3968,3313,42,50,20,289,2015
18065,30879,31068,43078,12,518,363,164,47,2738,1935
18133,30845,31264,42895,0,0,22,129,121,7,342
18199,30413,31476,42901,11,0,294,144,4,7,0
18264,30415,31435,43139,540,30,1,28,164,366,20
18329,30556,31424,43127,365,667,97,7,8,121,441
18394,30220,31307,43203,3870,1522,232,81,52,2426,591
18461,30316,30977,43175,5059,1070,64,221,18,798,303
18525,30632,31089,43102,3109,2868,222,78,51,1371,1264
18591,30545,31329,43162,403,7559,59,163,40,1845,3198
18658,30744,31185,43308,19,7169,133,96,98,257,261
18722,30265,30936,43294,50,7686,336,175,9,21,363
18784,29941,31124,43331,19,8883,235,136,26,22,868
18850,30194,31528,43294,352,4717,172,275,25,227,2840
18914,30799,31708,43108,2423,3380,425,126,130,1456,940
18980,30282,31649,43239,285,4427,352,40,89,1457,713
19048,30409,31529,43350,0,2812,84,79,73,188,1068
19111,30427,31584,43322,48,1942,12,39,20,34,621
19177,30401,31395,43300,262,1150,17,128,15,145,540
19242,30172,31153,43559,40,1394,158,167,179,153,168
19305,30209,31271,43623,0,3168,26,84,45,28,1267
19371,30395,31315,43306,0,1498,126,30,216,0,1138
19438,30605,31553,43137,0,1711,141,159,113,0,143
19505,30762,31949,43017,447,3350,105,265,80,300,1100
19571,30915,31941,43008,2506,3431,104,5,6,1403,55
19635,30542,31746,43025,5079,1301,262,137,11,1809,1497
19702,30423,31738,43016,4410,1231,79,5,6,449,47
19765,30417,31865,43187,1577,143,4,90,122,2023,777
19835,30413,31823,43314,13,239,2,27,81,1005,61
19902,30551,31971,43213,0,0,92,99,67,8,160
19966,30346,31921,43193,0,1058,144,35,14,0,743
20030,30357,31793,43156,0,411,7,90,26,0,454
20094,30717,31737,43058,0,85,253,39,68,0,229
20162,30749,31775,42936,271,768,21,25,80,179,451
20229,30589,31799,43005,425,1164,107,16,46,103,265
20297,30557,31856,42973,1560,5334,21,37,21,751,2759
20363,30380,31807,43151,3417,4182,120,33,121,1266,785
20426,30555,31549,43185,4561,4264,125,184,24,817,58
20491,30567,31579,43144,1196,3676,8,20,28,2329,407
20560,30520,31745,43113,3454,2,30,108,20,1472,2396
20627,30709,31874,43023,3708,0,126,86,60,170,1
20693,30534,31868,43078,3567,0,119,4,37,96,0
20760,30474,31810,43013,2254,165,40,38,43,881,110
20826,30637,31990,43041,1376,3,111,122,19,598,110
20891,30575,31838,43036,265,0,42,105,3,769,2
20959,30497,31681,42944,2864,0,51,103,60,1719,0
21023,30501,31789,42986,1735,0,2,75,29,793,0
21085,30518,31842,43097,1823,0,12,38,80,63,0
21154,30421,31834,43136,422,0,63,5,25,913,0
21222,30397,31744,43154,0,0,15,59,11,279,0
21284,30654,31658,43109,1772,390,186,62,32,1286,283
21349,30814,31705,43055,5394,3740,110,32,37,2507,2319
21414,30464,31784,43144,513,334,242,54,61,3379,2358
21479,30451,31901,43273,0,0,9,81,89,355,231
21544,30514,31897,43321,147,194,43,2,33,101,134
21609,30465,31897,43245,288,163,33,0,52,97,21
21671,30178,31948,43224,1655,11,208,37,15,992,110
21735,30737,31881,43127,2791,460,393,47,68,798,315
21801,30902,31633,43095,3402,115,112,169,21,416,235
21866,30216,31888,43290,2920,2380,474,176,135,333,1568
21931,30181,31897,43424,2183,1453,24,6,92,510,641
21996,30462,31717,43233,690,2970,194,124,132,1033,1050
22063,30511,31933,43212,35,6032,32,145,14,439,2056
22127,30526,31839,43184,1107,9272,10,66,19,753,2278
22193,30467,31881,43226,1809,5736,40,28,28,478,2410
22255,30529,31813,43186,3912,2978,45,49,29,1526,2001
22318,30507,31831,43152,6524,1163,15,12,24,1865,1296
22383,30331,32099,43266,6884,1073,121,185,78,249,62
22447,30603,31953,43226,4700,89,191,102,28,1535,691
22511,30645,31780,43221,239,0,29,121,3,3136,62
22574,30281,31727,43314,0,0,260,37,66,170,0
22638,30343,31764,43329,0,0,43,26,10,0,0
22702,30467,31751,43231,4,0,87,9,68,2,0
22767,30526,31794,43319,314,0,40,29,60,214,0
22834,30552,31767,43253,19,11,17,18,44,198,7
22900,30377,31770,43296,0,0,119,2,29,12,7
22968,30503,31974,43134,0,0,83,135,107,0,0
23036,30637,32135,43095,0,39,88,106,25,0,25
23101,30540,31946,43245,0,59,67,130,103,0,13
23164,30374,31688,43251,0,2282,118,184,4,0,1587
23229,30179,31863,43401,0,1723,135,121,103,0,387
23295,30348,32067,43336,8,6012,115,139,44,5,2924
23361,30734,32002,43212,411,2583,263,44,84,274,2337
23427,30610,31745,43153,0,1447,84,175,40,280,774
23492,30330,31847,43181,0,0,193,70,19,0,1001
23555,30365,32013,43192,528,0,25,118,7,377,0
23620,30754,31880,43197,1568,10,269,92,3,720,6
23688,30573,31679,43298,1702,699,119,133,66,88,455
23755,30271,31725,43186,1037,2602,202,30,75,446,1278
23817,30334,31794,43154,561,2183,45,50,23,345,304
23885,30576,31872,43144,2426,5028,160,51,6,1234,1882
23951,30809,31962,43260,1,2346,158,61,79,1653,1828
24015,30533,32012,43233,444,2781,194,35,18,311,305
24083,30216,31853,43127,2568,2,209,105,70,1405,1839
24149,30295,31997,43275,2128,0,53,98,100,300,1
24215,30725,31922,43319,587,0,293,51,30,1050,0
24283,30400,31947,43315,0,0,215,16,2,388,0
24348,30061,31052,43882,6854,8509,234,619,392,4745,5890
24417,30205,31218,43793,3854,8300,93,108,58,1956,136
24482,30338,31277,43732,2080,3417,92,40,42,1228,3380
24545,30343,31306,43706,1039,187,3,20,18,743,2307
24612,30190,31372,43794,393,48,102,44,59,433,93
24679,30181,31349,43744,537,82,6,15,33,96,22
24745,30270,31291,43766,567,226,60,39,15,20,98
24814,30074,31364,43727,1309,218,127,47,25,483,5
24878,30131,31413,43766,179,158,40,34,27,794,42
24945,30292,31388,43733,1611,0,108,16,22,961,106
25010,30260,31369,43684,58,790,22,13,33,1075,546
25074,30244,31345,43662,783,874,11,16,15,509,59
25139,30261,31261,43701,273,12,11,58,27,353,596
25204,30288,31105,43788,186,0,18,108,60,60,8
25270,30166,31074,43835,197,0,83,21,32,7,0
25335,30221,31204,43777,90,26,38,90,40,74,18
25402,30211,31362,43755,0,152,6,106,14,60,84
25467,30179,31354,43764,0,2203,22,5,6,0,1419
25531,30244,31305,43740,0,6249,45,34,16,0,2844
25595,30266,31360,43761,1,3787,15,38,14,0,1731
25658,30191,31332,43763,0,661,53,20,1,0,2232
25725,30110,31255,43822,1763,3251,54,51,39,1184,1739
25792,30093,31097,43887,1300,9007,11,106,43,310,3865
25861,30234,31197,43794,871,8694,91,65,60,279,204
25924,30202,31164,43810,1761,6940,22,23,11,635,1252
25989,30169,31184,43833,877,2970,22,13,15,612,2748
26052,30176,31169,43835,1798,3166,5,10,1,657,140
26116,30196,31164,43750,3609,5536,14,3,59,1273,1666
26183,30226,31268,43741,1357,5279,20,69,6,1512,172
26246,30245,31289,43785,2410,4061,13,15,31,752,870
26313,30109,31186,43861,3036,364,91,69,51,420,2483
26378,30141,31227,43837,3505,27,22,28,16,324,233
26443,30058,31249,43862,2953,144,57,15,17,382,81
26506,30144,31140,43813,0,4163,61,77,35,2109,2870
26572,30127,31029,43923,0,9591,11,75,75,0,3700
26640,30103,31117,43873,1,12706,15,58,33,0,2061
26706,30212,31107,43833,2,11010,74,6,27,0,1156
26770,30349,31099,43807,2,9744,96,5,18,0,890
26835,30165,31133,43799,979,12974,127,23,5,676,2236
26900,30052,31101,43904,11,8228,78,22,72,670,3285
26967,30223,31073,43902,1,4692,114,18,1,6,2374
27033,30114,31116,43879,0,5458,74,29,15,0,522
27097,30193,31038,43907,1,4214,55,54,19,0,874
27162,30105,31006,43936,325,2751,60,22,20,224,1012
27225,30103,31101,43903,2538,1646,1,67,23,1580,789
27290,30149,31089,43901,6131,409,31,8,1,2487,856
